"start_date","end_date","caseid","activity","Impact","Cle_de_demande","Priorite","Statut_du_Ticket"
2020-04-24T15:44:35.000Z,2020-04-24T15:44:35.000Z,"TCK2464267","Snow_Date_heure_de_survenance","2-Elevé","TMABAD-20873","2 - Élevée","Fermé"
2020-04-24T15:52:00.000Z,2020-04-24T15:52:00.000Z,"TCK2464267","jira_Creation","2-Elevé","TMABAD-20873","2 - Élevée","Fermé"
2020-04-24T16:05:00.000Z,2020-04-24T16:05:00.000Z,"TCK2464267","jira_Resolue","2-Elevé","TMABAD-20873","2 - Élevée","Fermé"
2020-04-24T16:05:00.000Z,2020-04-24T16:05:00.000Z,"TCK2464267","jira_Mise_a_jour","2-Elevé","TMABAD-20873","2 - Élevée","Fermé"
2020-04-24T16:05:30.000Z,2020-04-24T16:05:30.000Z,"TCK2464267","Snow_Date_derniere_modif_Etudes","2-Elevé","TMABAD-20873","2 - Élevée","Fermé"
2020-04-24T16:05:30.000Z,2020-04-24T16:05:30.000Z,"TCK2464267","Snow_Date_heure_de_fin","2-Elevé","TMABAD-20873","2 - Élevée","Fermé"
2020-04-24T17:43:13.000Z,2020-04-24T17:43:13.000Z,"TCK2464394","Snow_Date_heure_de_survenance","3-Moyen","TMABAD-20877","3 - Moyenne","Fermé"
2020-04-24T17:54:00.000Z,2020-04-24T17:54:00.000Z,"TCK2464394","jira_Creation","3-Moyen","TMABAD-20877","3 - Moyenne","Fermé"
2020-04-27T08:49:00.000Z,2020-04-27T08:49:00.000Z,"TCK2464394","jira_Resolue","3-Moyen","TMABAD-20877","3 - Moyenne","Fermé"
2020-04-27T08:49:00.000Z,2020-04-27T08:49:00.000Z,"TCK2464394","jira_Mise_a_jour","3-Moyen","TMABAD-20877","3 - Moyenne","Fermé"
2020-04-27T08:49:07.000Z,2020-04-27T08:49:07.000Z,"TCK2464394","Snow_Date_derniere_modif_Etudes","3-Moyen","TMABAD-20877","3 - Moyenne","Fermé"
2020-04-27T08:49:08.000Z,2020-04-27T08:49:08.000Z,"TCK2464394","Snow_Date_heure_de_fin","3-Moyen","TMABAD-20877","3 - Moyenne","Fermé"
2020-05-12T13:38:47.000Z,2020-05-12T13:38:47.000Z,"TCK2477023","Snow_Date_heure_de_survenance","3-Moyen","TMABAD-21001","3 - Moyenne","Fermé"
2020-05-12T13:41:00.000Z,2020-05-12T13:41:00.000Z,"TCK2477023","jira_Creation","3-Moyen","TMABAD-21001","3 - Moyenne","Fermé"
2020-05-18T10:00:26.000Z,2020-05-18T10:00:26.000Z,"TCK2482013","Snow_Date_heure_de_survenance","2-Elevé","TMABAD-21050","2 - Élevée","Fermé"
2020-05-18T10:02:00.000Z,2020-05-18T10:02:00.000Z,"TCK2482013","jira_Creation","2-Elevé","TMABAD-21050","2 - Élevée","Fermé"
2020-05-18T10:17:00.000Z,2020-05-18T10:17:00.000Z,"TCK2477023","jira_Resolue","3-Moyen","TMABAD-21001","3 - Moyenne","Fermé"
2020-05-18T10:17:00.000Z,2020-05-18T10:17:00.000Z,"TCK2477023","jira_Mise_a_jour","3-Moyen","TMABAD-21001","3 - Moyenne","Fermé"
2020-05-18T10:17:09.000Z,2020-05-18T10:17:09.000Z,"TCK2477023","Snow_Date_derniere_modif_Etudes","3-Moyen","TMABAD-21001","3 - Moyenne","Fermé"
